날짜,편입비중_삼성전자,편입비중_삼성바이오로직스,편입비중_SK하이닉스,편입비중_LG화학,편입비중_삼성SDI,지수,설정좌수,환매좌수,총좌수,iNAV,AUM,매매내역_삼성전자,매매내역_삼성바이오로직스,매매내역_SK하이닉스,매매내역_LG화학,매매내역_삼성SDI,주식잔고_삼성전자,주식잔고_삼성바이오로직스,주식잔고_SK하이닉스,주식잔고_LG화학,주식잔고_삼성SDI
2020-05-08,0.717653541366943,0.03327770698214887,0.14852511153577594,0.05387529008065738,0.04666835003447482,0.9196150464692101,200000,150000,5400000,9196.1504646921,49659212509.33734,6762.0,26.0,804.0,70.0,75.0,730289,2843,86772,7589,8117
2020-05-11,0.7171794372595237,0.03341654799771054,0.14877334495575936,0.05336066046363027,0.047270009323376105,0.9126801629400944,50000,0,5450000,9126.801629400943,49741068880.23514,6762.0,27.0,803.0,71.0,75.0,737051,2870,87575,7660,8192
2020-05-12,0.7145991499873056,0.03398837110903025,0.15191258537091024,0.052405777916364346,0.047094115616389653,0.9065131259178745,150000,50000,5550000,9065.131259178745,50311478488.44203,13523.0,52.0,1607.0,140.0,150.0,750574,2922,89182,7800,8342
2020-05-13,0.7144710523416237,0.03488652258065811,0.14617989039030446,0.05383609572794575,0.05062643895946796,0.9189791866724643,100000,50000,5600000,9189.791866724643,51462834453.658005,6762.0,27.0,804.0,70.0,76.0,757336,2949,89986,7870,8418
2020-05-14,0.7171040308724308,0.035186278206704974,0.14307439538729458,0.05348914334402719,0.051146152189542445,0.9052325305268573,200000,50000,5750000,9052.325305268572,52050870505.29429,20286.0,79.0,2410.0,211.0,225.0,777622,3028,92396,8081,8643
2020-05-15,0.7155346415279986,0.034816501682799685,0.1455186225574031,0.053850216178711136,0.05028001805308745,0.9043829299573065,150000,100000,5800000,9043.829299573064,52454209937.52377,6762.0,26.0,803.0,71.0,75.0,784384,3054,93199,8152,8718
2020-05-18,0.7187310068975555,0.03383780592554854,0.14192319013735938,0.054185777730657844,0.05132221930887863,0.9182364312369546,50000,0,5850000,9182.364312369546,53716831227.36184,6762.0,26.0,804.0,70.0,75.0,791146,3080,94003,8222,8793
2020-05-19,0.721925885195115,0.03314036331245321,0.1410314885300229,0.05325106955249395,0.05065119340991498,0.9422723551120208,200000,200000,5850000,9422.723551120207,55122932774.053215,0.0,0.0,0.0,0.0,0.0,791146,3080,94003,8222,8793
2020-05-20,0.7168632854419055,0.03310540995048772,0.1432676974032401,0.05401443464795972,0.05274917255640703,0.9432672253385959,100000,50000,5900000,9432.67225338596,55652766294.97716,6762.0,27.0,803.0,70.0,75.0,797908,3107,94806,8292,8868
2020-05-21,0.7151025221334648,0.033553029122921255,0.14186812177427985,0.05616752187536795,0.05330880509396609,0.9446441980771161,100000,50000,5950000,9446.44198077116,56206329785.5884,6762.0,26.0,804.0,70.0,76.0,804670,3133,95610,8362,8944
2020-05-22,0.7122907133533708,0.03474979775291133,0.14114293980417275,0.05724789235638943,0.054568656733155724,0.9255894942767171,150000,100000,6000000,9255.89494276717,55535369656.60302,6762.0,26.0,803.0,71.0,75.0,811432,3159,96413,8433,9019
2020-05-25,0.7093052299189014,0.03531561023939613,0.14043616135576406,0.05877755897794025,0.056165439507998086,0.9313919601448517,150000,150000,6000000,9313.919601448517,55883517608.6911,0.0,0.0,0.0,0.0,0.0,811432,3159,96413,8433,9019
2020-05-26,0.7027794297176873,0.03542041689060111,0.13886175806883386,0.06139721014345035,0.06154118517942748,0.9477379522055249,150000,100000,6050000,9477.37952205525,57338146108.43426,6762.0,27.0,804.0,70.0,75.0,818194,3186,97217,8503,9094
2020-05-27,0.7114267548023023,0.03423698709713911,0.13789229640562994,0.058601890408123476,0.05784207128680519,0.9485744672464773,150000,50000,6150000,9485.744672464773,58337329735.65835,13524.0,52.0,1606.0,140.0,150.0,831718,3238,98823,8643,9244
2020-05-28,0.7123844364648708,0.03323581195124673,0.1409067501077448,0.05707033205714929,0.05640266941898833,0.9567912442415555,150000,100000,6200000,9567.912442415554,59321057142.97644,6762.0,27.0,804.0,71.0,75.0,838480,3265,99627,8714,9319
2020-05-29,0.7158361007166532,0.03379691316280504,0.13672539834203024,0.05730099529660526,0.056340592481906274,0.95784545164785,200000,50000,6350000,9578.4545164785,60823186179.63847,20285.0,79.0,2410.0,211.0,226.0,858765,3344,102037,8925,9545
2020-06-01,0.7137112494516262,0.03374303876935703,0.1384665303007805,0.057369789582864636,0.05670939189537163,0.9701714666132193,150000,100000,6400000,9701.714666132193,62090973863.24603,6762.0,26.0,804.0,70.0,75.0,865527,3370,102841,8995,9620
2020-06-02,0.7145228519139311,0.033649964761239944,0.1375890767886338,0.05706707189912364,0.05717103463707151,0.972854909154667,200000,150000,6450000,9728.54909154667,62749141640.47603,6762.0,26.0,803.0,70.0,75.0,872289,3396,103644,9065,9695
2020-06-03,0.7201479048624477,0.03183326022975547,0.1392626869578711,0.05500006586846406,0.05375608208146167,1.0234717965960165,100000,50000,6500000,10234.717965960164,66525666778.741066,6762.0,27.0,804.0,70.0,75.0,879051,3423,104448,9135,9770
2020-06-04,0.7186183110169181,0.03292308260502419,0.13714853757785267,0.05710808618463121,0.05420198261557389,1.0275322044659874,150000,50000,6600000,10275.322044659873,67817125494.755165,13524.0,52.0,1606.0,141.0,151.0,892575,3475,106054,9276,9921
2020-06-05,0.7166813702523822,0.0330472994830165,0.1387035299722967,0.05824496004615424,0.05332284024615033,1.0472923868304636,150000,150000,6600000,10472.923868304635,69121297530.8106,0.0,0.0,0.0,0.0,0.0,892575,3475,106054,9276,9921
2020-06-08,0.7134301084932391,0.03320691750437308,0.1405097408339034,0.05861439796763126,0.05423883520085317,1.0406914570933192,150000,100000,6650000,10406.914570933191,69205981896.70572,6762.0,27.0,804.0,70.0,75.0,899337,3502,106858,9346,9996
2020-06-09,0.7158601822534206,0.033555440928409626,0.13762505685458326,0.05797714499030346,0.054982174973282984,1.0484937721858576,150000,100000,6700000,10484.937721858576,70249082736.45245,6762.0,26.0,803.0,70.0,75.0,906099,3528,107661,9416,10071
2020-06-10,0.7125374183273917,0.034845929024563405,0.1387617316463744,0.058814725930298545,0.055040195071371895,1.0514852080650803,50000,0,6750000,10514.852080650802,70975251544.39291,6762.0,26.0,804.0,71.0,75.0,912861,3554,108465,9487,10146
2020-06-11,0.7069454409211885,0.037427230968511326,0.13690373300526845,0.06264732756761165,0.056076267537420135,1.0387595038150466,150000,50000,6850000,10387.595038150466,71155026011.33069,13524.0,53.0,1607.0,140.0,151.0,926385,3607,110072,9627,10297
2020-06-12,0.7016262114736621,0.04156056878296532,0.1358093473622035,0.064414194712143,0.05658967766902604,1.0080845586737575,100000,50000,6900000,10080.845586737574,69557834548.48926,6762.0,26.0,803.0,71.0,75.0,933147,3633,110875,9698,10372
2020-06-15,0.7020801359463841,0.04375009961112151,0.13708373968536833,0.06258429999020106,0.05450172476692501,0.9612026040472108,50000,0,6950000,9612.026040472108,66803580981.28115,6762.0,26.0,804.0,70.0,75.0,939909,3659,111679,9768,10447
2020-06-16,0.6977198049837524,0.042570106410125694,0.13588989069523522,0.06785056015222761,0.05596963775865901,1.0098520496991643,50000,50000,6950000,10098.520496991643,70184717454.09192,0.0,0.0,0.0,0.0,0.0,939909,3659,111679,9768,10447
2020-06-17,0.6953833455672204,0.04224371829957558,0.13739137137748803,0.06804759713749192,0.05693396761822404,1.0151899192913787,100000,50000,7000000,10151.899192913786,71063294350.3965,6762.0,27.0,803.0,70.0,75.0,946671,3686,112482,9838,10522
2020-06-18,0.6977726604154592,0.041589002335711826,0.13664869150247122,0.0680815198638507,0.05590812588250713,1.0136518523472047,150000,150000,7000000,10136.518523472047,70955629664.30432,0.0,0.0,0.0,0.0,0.0,946671,3686,112482,9838,10522
