날짜,삼성전자,삼성바이오로직스,SK하이닉스,LG화학,삼성SDI,삼성전자_시가총액,삼성바이오로직스_시가총액,SK하이닉스_시가총액,LG화학_시가총액,삼성SDI_시가총액,시가총액합,지수,설정,환매,총좌수,삼성전자_편입비중,삼성바이오로직스_편입비중,SK하이닉스_편입비중,LG화학_편입비중,삼성SDI_편입비중,iNAV,AUM,삼성전자_일자별매매내역,삼성바이오로직스_일자별매매내역,SK하이닉스_일자별매매내역,LG화학_일자별매매내역,삼성SDI_일자별매매내역,삼성전자_주식잔고,삼성바이오로직스_주식잔고,SK하이닉스_주식잔고,LG화학_주식잔고,삼성SDI_주식잔고
2022-09-30,53100,807000,83100,536000,546000,240323737833900,14222296848000,44687815364100,25211717296000,27467309142000,351912876484000,105.15600724562782,50000,0,34850000,0.682906917857058,0.0404142553409711,0.12698545108829448,0.07164192895665832,0.07805144675701807,10515.0,366447750000.0,6811.080826142803,26.522233197418245,809.2859211836476,70.78667677441263,75.70723024581821,4712800.44271476,18351.56497846883,559970.3108789478,48979.52177579718,52384.207048267526
2022-10-04,55200,811000,86200,555000,556000,249828066448800,14292791504000,46354869848200,26105416230000,27970373412000,364551517443000,108.93259261396659,50000,0,34900000,0.6853025004562276,0.039206506680457776,0.12715588231078448,0.0716096764953989,0.07672543405713117,10893.0,380165700000.0,6918.8470985023305,26.941873233892693,822.0906036159722,71.90667762060912,76.90508506540209,4719719.289813262,18378.50685170272,560792.4014825638,49051.428453417786,52461.11213333293
2022-10-05,56000,807000,89800,560000,569000,253448763064000,14222296848000,48290804087800,26340600160000,28624356963000,370926821122800,110.83761378467278,200000,150000,34950000,0.6832850811295001,0.03834259492195505,0.13018957200674555,0.07101292939741236,0.07716982254438685,11083.0,387350850000.0,6549.584612288512,25.503971376550908,778.215198383783,68.06898064947018,72.80062047622778,4726268.874425551,18404.010823079272,561570.6166809476,49119.497434067256,52533.912753809156
2022-10-06,56300,812000,89900,583000,585000,254806524294700,14310415168000,48344580038900,27422446238000,29429259795000,374313225534600,111.84951414598297,150000,100000,35000000,0.6807307541185096,0.03823112353981519,0.12915541514690942,0.07326069282974128,0.07862201436502456,11184.0,391440000000.0,6683.992220086046,26.02735232129271,794.185378076043,69.4658614283253,74.29460182368348,4732952.866645637,18430.038175400565,562364.8020590236,49188.96329549558,52608.20735563284
2022-10-07,56200,811000,91200,589000,591000,254353937217800,14292791504000,49043667403200,27704666954000,29731098357000,375126161436000,112.09242964936534,100000,50000,35050000,0.6780490495360856,0.038101292240686556,0.13073912844537053,0.07385426505031074,0.0792562647275466,11209.0,392875450000.0,7061.82122913003,27.49861207322101,839.0786491205217,73.392589156545,78.4942859136936,4740014.687874767,18457.536787473786,563203.8807081442,49262.35588465213,52686.70164154653
2022-10-11,55400,802000,90200,597000,600000,250733240602600,14134178528000,48505907892200,28080961242000,30183856200000,371638144464800,111.05016617335679,150000,50000,35150000,0.6746703596954063,0.03803209853056063,0.1305191854352138,0.0755599543810006,0.08121840195781864,11105.0,390340750000.0,13619.503574234433,53.0341158839874,1618.256012148806,141.54572848951648,151.38491514745692,4753634.191449001,18510.570903357773,564822.136720293,49403.90161314164,52838.08655669399
2022-10-12,55800,820000,94000,591000,610000,252543588910200,14451404480000,50549394034000,27798740526000,30686920470000,376030048420200,112.36252248373222,50000,0,35200000,0.6716048091667176,0.03843151508958954,0.13442913470976894,0.07392691260389891,0.08160762843002503,11236.0,395507200000.0,6662.180953557603,25.94241961943044,791.5937848509056,69.23917977336532,74.0521629774812,4760296.372402559,18536.513322977204,565613.7305051439,49473.14079291501,52912.13871967147
2022-10-13,55200,807000,94900,575000,596000,249828066448800,14222296848000,51033377593900,27046151950000,29982630492000,372112523332700,111.1919165638752,200000,100000,35300000,0.6713777440525232,0.03822041978222825,0.1371450149993255,0.072682724321585,0.08057409684433813,11119.0,392500700000.0,13548.455587226897,52.757456227798684,1609.8141602487303,140.80733600523672,150.59519521192124,4773844.827989786,18589.270779205002,567223.5446653926,49613.948128920245,53062.73391488339
2022-10-14,56300,806000,95500,573000,603000,254806524294700,14204673184000,51356033300500,26952078378000,30334775481000,377654084638200,112.84780499460088,200000,100000,35400000,0.674708773609081,0.03761292082305519,0.13598696635229057,0.07136710411545162,0.0803242351001216,11284.0,399453600000.0,13275.04003387969,51.69278070114888,1577.3271932600765,137.9657637358905,147.55609836691292,4787119.868023666,18640.96355990615,568800.8718586527,49751.913892656135,53210.290013250305
2022-10-17,56600,830000,95200,575000,605000,256164285525400,14627641120000,51194705447200,27046151950000,30435388335000,379468172377600,113.38987729776431,150000,150000,35400000,0.6750613204801188,0.038547741773305756,0.1349117242862132,0.07127383511649825,0.08020537834386397,11338.0,401365200000.0,-85.91207371931523,-0.3345401576916629,-10.207988055888563,-0.8928730033658212,-0.9549387699225917,4787033.955949946,18640.62901974846,568790.6638705968,49751.02101965277,53209.33507448038
