Symbol,Year,Return,TRI,TB90,MKTCAP,PB
FTS,2017,10.7636,50166.8711,0.71,19093.1797,1.4118
BMO,2017,3.0237,50166.8711,0.71,58128.7031,1.5023
BNS,2017,11.2878,50166.8711,0.71,93088.8438,1.7441
IGM,2017,10.2156,50166.8711,0.71,9837.6396,2.0942
EMP.A,2017,-2.6889,50166.8711,0.71,3642.5605,1.5772
RY,2017,13.676,50166.8711,0.71,135121.3125,2.061
CWB,2017,10.1405,50166.8711,0.71,2562.4604,1.1931
IFC,2017,8.153,50166.8711,0.71,13482.9385,2.4417
X,2017,16.6257,50166.8711,0.71,3672.4619,1.2363
WSP,2017,20.0603,50166.8711,0.71,5319.4922,1.8123
TFII,2017,14.0829,50166.8711,0.71,2742.8159,2.129
TRI,2017,5.1372,50166.8711,0.71,40809.6211,2.6416
CU,2017,3.5106,50166.8711,0.71,10522.2119,2.2253
IAG,2017,14.6555,50166.8711,0.71,5708.8301,1.2678
CIX,2017,6.5056,50166.8711,0.71,7069.7773,4.4765
MRU,2017,-7.454,50166.8711,0.71,9385.6504,3.452
MAXR,2017,-20.6399,50166.8711,0.71,2504.0054,2.2255
T,2017,5.0907,50166.8711,0.71,26854.1563,3.2019
CTC.A,2017,10.0275,50166.8711,0.71,10096.041,2.1589
MG,2017,13.7853,50166.8711,0.71,22259.1758,1.6689
OTEX,2017,-2.5703,50166.8711,0.71,10617.1963,2.3958
RUS,2018,9.6464,55229.8008,1.52,1771.0569,1.9795
PKI,2018,50.4811,55229.8008,1.52,5392.3091,3.25
MAXR,2018,-41.1294,55229.8008,1.52,2391.8613,0.8557
HSE,2018,47.7071,55229.8008,1.52,21690.5137,1.2185
TFII,2018,58.6116,55229.8008,1.52,4228.395,2.8542
PWF,2018,-9.73,55229.8008,1.52,21726.9141,1.1784
TRP,2018,-12.3482,55229.8008,1.52,50427.8711,2.158
GWO,2018,-7.9503,55229.8008,1.52,31488.8047,1.5275
LB,2018,-17.18,55229.8008,1.52,1946.5782,0.8959
POW,2018,-4.1612,55229.8008,1.52,12197.7471,0.9588
CM,2018,16.5761,55229.8008,1.52,54212.2773,1.6889
IGM,2018,-10.9562,55229.8008,1.52,8768.4707,2.0082
PEY,2018,-49.51,55229.8008,1.52,1783.9388,1.0803
FTS,2018,-6.5003,55229.8008,1.52,18148.8359,1.277
BNS,2018,-2.7803,55229.8008,1.52,93032.6719,1.5317
CNQ,2018,15.8305,55229.8008,1.52,54410.9453,1.6785
BMO,2018,19.3728,55229.8008,1.52,68530.3672,1.6895
MRU,2018,-0.8734,55229.8008,1.52,10470.2529,1.9059
SLF,2018,8.1752,55229.8008,1.52,31485.7129,1.486
RY,2018,11.8472,55229.8008,1.52,149386.2188,2.0901
TD,2018,17.283,55229.8008,1.52,143821.8438,1.9991
AQN,2018,-0.2214,55229.8008,1.52,6363.0288,1.7075
IAG,2018,0.9517,55229.8008,1.52,5929.9604,1.1628
T,2018,7.0338,55229.8008,1.52,28923.1191,2.9797
,2018,13.6221,55229.8008,1.52,22083.9961,1.9263
EFN,2018,-24.8932,55229.8008,1.52,2675.2722,0.849
SU,2018,37.286,55229.8008,1.52,87442.9922,1.9444
TCL.A,2018,30.8231,55229.8008,1.52,2792.2144,1.9074
TIH,2018,21.3542,55229.8008,1.52,5304.2988,4.3682
OSB,2018,15.4884,55229.8008,1.52,4303.625,3.6446
CIX,2018,-23.1895,55229.8008,1.52,5491.6182,3.2051
NTR,2018,35.0023,55229.8008,1.52,45130.8633,1.4694
EMP.A,2018,18.5326,55229.8008,1.52,4320.021,1.8383
CU,2018,-18.4224,55229.8008,1.52,8639.7656,1.8972
NFI,2018,-0.0974,55229.8008,1.52,3223.4944,3.0485
OGC,2018,-0.5155,55229.8008,1.52,2383.6685,1.1867
X,2018,31.8565,55229.8008,1.52,4873.3647,1.4842
ACO.X,2018,-15.2141,55229.8008,1.52,4477.4312,1.2545
